,שם מכשיר,מספר סידורי,סטטוס,גרסת תוכנה,תוכנה,מודל,גרסת קושחה,הגדרות תקשורת,קוד איתחול פינפד,מספר מסוף,מספר מוטב,מספר קופה,שם בית העסק,מספר עוסק,מספר עוסק בסליקה,רשת,סניף,משווק,תאריך הקמה,תאריך גישה אחרונה למערכת,איש קשר,טלפון איש קשר,כתובת מלאה,Warranty Check,Checking E,Check GPRS in H
522,ארומה בית המשפט 2,204005345.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.22-M255.255.255.0-DG10.0.0.138,1273,1806365,,2,קפה א.ק אלעד בעמ,514243997.0,,ארומה,"ראשל""צ  קרית לאום",DORIX,2021-01-14,01/02/2021,נטע,545805868.0,"ישראל גלילי 5  ראשל""צ",0,1,0
523,ארומה בית המשפט 1,204005344.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.21-M255.255.255.0-DG10.0.0.138,6624,1806365,,1,קפה א.ק אלעד בעמ,514243997.0,,ארומה,"ראשל""צ  קרית לאום",DORIX,2021-01-14,01/02/2021,נטע,545805868.0,"ישראל גלילי 5  ראשל""צ",0,1,0
524,ארומה מלחה 2,204005347.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.63-M255.255.255.0-DG10.0.0.138,8916,1805633,,2,"י. נני השקעות מסחר ושירותים בע""מ",512980129.0,,ארומה,קניון מלחה,DORIX,2021-01-14,01/02/2021,יואלי נני,546418045.0,קניון מלחה ירושלים ירושלים,0,1,0
525,ארומה מלחה 1,204005346.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.61-M255.255.255.0-DG10.0.0.138,7413,1805633,,1,"י. נני השקעות מסחר ושירותים בע""מ",512980129.0,,ארומה,קניון מלחה,DORIX,2021-01-14,01/02/2021,יואלי נני,546418045.0,קניון מלחה ירושלים ירושלים,0,1,0
526,ארומה שפיים 2,204005351.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.202-M255.255.255.0-DG10.0.0.138,1626,1806084,,2,"מ.צ טהר בע""מ",515721223.0,,ארומה,שפיים,DORIX,2021-01-14,01/02/2021,ציון,548185127.0,שפיים שפיים,0,1,0
527,ארומה שפיים 1,204005350.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.201-M255.255.255.0-DG10.0.0.138,2629,1806084,,1,"מ.צ טהר בע""מ",515721223.0,,ארומה,שפיים,DORIX,2021-01-14,01/02/2021,ציון,548185127.0,שפיים שפיים,0,1,0
528,"אורבן קופיקס בע""מ",204005348.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:20.20.142.11-M255.255.255.0-DG20.20.142.254,5145,1806342,,1,"אורבן קופיקס בע""מ",515286920.0,514931898.0,קופיקס ,בית שמש,DORIX,2021-01-14,01/02/2021,יונית,542525388.0,נחל צבי 12 רמת בית שמש א'  בית שמש,0,1,0
529,ארומה בית שמש 2,204005340.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.102-M255.255.255.0-DG10.0.0.138,5537,1806075,,2,"שפע זכיינות בע""מ",,513356824.0,ארומה ,בית שמש,DORIX,2021-01-14,01/02/2021,מוריה,524492603.0,יגאל אלון 1 בית שמש בית שמש,0,1,0
530,ארומה בית שמש 1,204005339.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.101-M255.255.255.0-DG10.0.0.138,9434,1806075,,1,"שפע זכיינות בע""מ",,513356824.0,ארומה ,בית שמש,DORIX,2021-01-14,01/02/2021,מוריה,524492603.0,יגאל אלון 1 בית שמש בית שמש,0,1,0
531,ארומה שערי צדק 2,2203707710.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.203.103-M255.255.255.0-DG172.16.203.254,4554,1806176,,2,"סלא קפה בע""מ",513850271.0,,ארומה,שערי צדק,DORIX,2021-01-14,01/02/2021,גיא,546631400.0,שמואל בייט 12 ירושלים ירושלים,0,1,0
